,county_fips,Target,date of day t,death t
0,1,0.14285714285714285,1.0,0.0
1,1,2.2857142857142856,2.0,0.0
2,1,5.857142857142857,3.0,0.0
3,1,58.0,4.0,0.0
4,1,346.7142857142857,5.0,0.14285714285714285
5,1,1143.0,6.0,2.2857142857142856
6,1,2091.1428571428573,7.0,5.857142857142857
7,1,2148.1428571428573,8.0,58.0
8,1,2203.0,9.0,346.7142857142857
9,1,1935.2857142857142,10.0,1143.0
10,1,1754.5714285714287,11.0,2091.1428571428573
11,1,1425.0,12.0,2148.1428571428573
12,1,1222.2857142857142,13.0,2203.0
13,1,948.1428571428571,14.0,1935.2857142857142
14,1,873.8571428571429,15.0,1754.5714285714287
15,1,744.8571428571429,16.0,1425.0
16,1,603.4285714285714,17.0,1222.2857142857142
17,1,563.2857142857143,18.0,948.1428571428571
18,1,520.5714285714286,19.0,873.8571428571429
19,1,747.4285714285714,20.0,744.8571428571429
20,1,780.8571428571429,21.0,603.4285714285714
21,1,915.4285714285714,22.0,563.2857142857143
22,1,1138.4285714285713,23.0,520.5714285714286
23,1,1038.2857142857142,24.0,747.4285714285714
24,1,1007.7142857142857,25.0,780.8571428571429
25,1,979.4285714285714,26.0,915.4285714285714
26,1,913.8571428571429,27.0,1138.4285714285713
27,1,833.0,28.0,1038.2857142857142
28,1,735.0,29.0,1007.7142857142857
29,1,799.1428571428571,30.0,979.4285714285714
30,1,770.7142857142857,31.0,913.8571428571429
31,1,701.0,32.0,833.0
