,county_fips,Target,date of day t,death t
0,1,2091.1428571428573,1.0,0.0
1,1,2148.1428571428573,2.0,0.0
2,1,2203.0,3.0,0.0
3,1,1935.2857142857142,4.0,0.0
4,1,1754.5714285714287,5.0,0.14285714285714285
5,1,1425.0,6.0,2.2857142857142856
6,1,1222.2857142857142,7.0,5.857142857142857
7,1,948.1428571428571,8.0,58.0
8,1,873.8571428571429,9.0,346.7142857142857
9,1,744.8571428571429,10.0,1143.0
10,1,603.4285714285714,11.0,2091.1428571428573
11,1,563.2857142857143,12.0,2148.1428571428573
12,1,520.5714285714286,13.0,2203.0
13,1,747.4285714285714,14.0,1935.2857142857142
14,1,780.8571428571429,15.0,1754.5714285714287
15,1,915.4285714285714,16.0,1425.0
16,1,1138.4285714285713,17.0,1222.2857142857142
17,1,1038.2857142857142,18.0,948.1428571428571
18,1,1007.7142857142857,19.0,873.8571428571429
19,1,979.4285714285714,20.0,744.8571428571429
20,1,913.8571428571429,21.0,603.4285714285714
21,1,833.0,22.0,563.2857142857143
22,1,735.0,23.0,520.5714285714286
23,1,799.1428571428571,24.0,747.4285714285714
24,1,770.7142857142857,25.0,780.8571428571429
25,1,701.0,26.0,915.4285714285714
26,1,715.2857142857143,27.0,1138.4285714285713
27,1,717.8571428571429,28.0,1038.2857142857142
28,1,814.5714285714286,29.0,1007.7142857142857
29,1,820.0,30.0,979.4285714285714
30,1,984.2857142857143,31.0,913.8571428571429
31,1,1082.5714285714287,32.0,833.0
